Reservoirs,Current Storage(TMC),Current Level(Metre),Max Storage(TMC),Max Level(Metre),Dam_Name
Alaganuru Balancing,0.00,248.50,2.97,265.00,Alaganuru Balancing
Brahmamsagar,15.59,212.70,17.74,216.50,Brahmamsagar
Chitravati Balancing,9.41,297.33,10.23,298.00,Chitravati Balancing
Donkarayi,12.22,314.98,16.51,316.07,Donkarayi
Gandikota,26.11,211.83,26.85,212.00,Gandikota
Gollapalli,1.70,528.15,1.91,529.00,Gollapalli
Gorakkalu Balancing Reservior,10.73,257.64,11.00,261.00,Gorakkalu Balancing Reservior
Gotta Barrage,0.61,38.10,0.66,38.10,Gotta Barrage
Gundlakamma,3.47,24.00,3.86,24.38,Gundlakamma
Hiramandalam,3.82,47.59,10.00,67.30,Hiramandalam
Jeedipalli,1.66,464.14,1.68,464.20,Jeedipalli
Kandaleru,60.60,83.46,68.03,85.01,Kandaleru
Mid Pennar,4.85,364.85,5.17,365.74,Mid Pennar
Mylavaram(pennar),5.02,198.67,6.50,201.65,Mylavaram(pennar)
Nagarjuna Sagar,257.08,173.80,312.05,180.00,Nagarjuna Sagar
Nellore Anicut,0.31,13.42,0.38,13.72,Nellore Anicut
Owk,2.44,222.05,3.00,227.00,Owk
Paidipalem Balancing,5.07,277.31,6.00,281.33,Paidipalem Balancing
Penna Ahobilam Balancing,5.10,435.19,5.50,443.00,Penna Ahobilam Balancing
Prakasam Barrage,3.07,17.39,3.07,22.13,Prakasam Barrage
Pulichinthala Project,41.88,52.56,45.77,53.34,Pulichinthala Project
Sangam Anicut / Barrge,0.38,34.21,0.45,34.21,Sangam Anicut / Barrge
Sarvaraja Sagar,0.96,194.05,1.06,201.30,Sarvaraja Sagar
